fa fa-anchor,ti ti-anchor
fa fa-angles-down,ti ti-chevrons-down
fa fa-angle-down,ti ti-chevron-down
fa fa-angle-up,ti ti-chevron-up
fa fa-ban,ti ti-ban
fa fa-circle-check,ti ti-circle-check
fa fa-chevron-left,ti ti-chevron-left
fa fa-chevron-right,ti ti-chevron-right
fa fa-diamond,ti ti-diamond
fa fa-ellipsis,ti ti-dots
fa fa-ellipsis-vertical,ti ti-dots-vertical
fa fa-filter,ti ti-filter
fa fa-user-group,ti ti-users
fa fa-language,ti ti-language
fa fa-paper-plane,ti ti-send
fa fa-paperclip,ti ti-paperclip
fa fa-play,ti ti-player-play
fa fa-square,ti ti-square
fa fa-train-subway,ti ti-train
fa fa-train,ti ti-train
fa fa-info-circle,ti ti-info-circle
fa fa-upload, ti ti-upload
fa fa-code, ti ti-code
fa fa-object-group, ti ti-chart-treemap
fa fa-question, ti ti-question-mark
fa fa-book, ti ti-book-2
fa fa-code-fork, ti ti-git-fork
fa fa-plus-circle, ti ti-circle-plus
fa fa-plus, ti ti-circle-plus
fa fa-sitemap, ti ti-sitemap
fa fa-users, ti ti-users-group
fa fa-rss, ti ti-rss
fa fa-hourglass-end, ti ti-hourglass-low
fa fa-reply, ti ti-arrow-back-up
fa fa-sign-in, ti ti-login-2
fa fa-sign-in-alt, ti ti-login-2
fa fa-paw, ti ti-paw
fa fa-list, ti ti-list
fa fa-list-alt, ti ti-list
fa fa-list-ul, ti ti-list
fa fa-list-ol, ti ti-list-numbers
fa fa-id-badge, ti ti-id-badge
fa fa-exclamation-triangle, ti ti-alert-triangle
fa fa-barcode, ti ti-barcode
fa fa-bars, ti ti-align-justified
fa fa-bolt, ti ti-bolt
fa fa-calendar, ti ti-calendar-event
fa fa-calendar-week, ti ti-calendar-event
fa fa-check, ti ti-check
fa fa-check-double, ti ti-checks
fa fa-cube, ti ti-cube
fa fa-cubes, ti ti-packages
fa fa-desktop, ti ti-device-desktop
fa fa-exchange, ti ti-arrows-exchange
fa fa-eye, ti ti-eye
fa fa-female, ti ti-gender-female
fa fa-male, ti ti-gender-male
fa fa-file-export, ti ti-file-export
fa fa-file-import, ti ti-file-import
fa fa-file-text, ti ti-file-text
fa fa-file-zipper, ti ti-file-zip
fa fa-file-download, ti ti-file-download
fa fa-file-upload, ti ti-file-upload
fa fa-file-audio, ti ti-file-music
fa fa-file-circle-check, ti ti-file-check
fa fa-file-circle-exclamation, ti ti-file-alert
fa fa-file-circle-minus, ti ti-file-minus
fa fa-file-circle-plus, ti ti-file-plus
fa fa-file-circle-question, ti ti-file-unknown
fa fa-file-circle-xmark, ti ti-file-excel
fa fa-file-code, ti ti-file-code
fa fa-file-contract, ti ti-file-certificate
fa fa-file-csv, ti ti-file-type-csv
fa fa-file-pen, ti ti-file-pencil
fa fa-file-excel, ti ti-file-type-xls
fa fa-file-image, ti ti-file-type-jpg
fa fa-file-invoice-dollar, ti ti-file-euro
fa fa-file-invoice, ti ti-file-euro
fa fa-file-waveform, ti ti-file-analytics
fa fa-file-medical, ti ti-file-plus
fa fa-file-pdf, ti ti-file-type-pdf
fa fa-file-powerpoint, ti ti-file-type-ppt
fa fa-file-prescription, ti ti-file-lambda
fa fa-file-shield, ti ti-file-text-shield
fa fa-file-signature, ti ti-file-pencil
fa fa-file-video, ti ti-file
fa fa-file-word, ti ti-file-type-docx
fa fa-file, ti ti-file
fa fa-font-awesome, ti ti-flag-2
fa fa-html5, ti ti-brand-html5
fa fa-id-card, ti ti-id-badge
fa fa-id-card-clip, ti ti-id-badge
fa fa-line-chart, ti ti-chart-histogram
fa fa-map-marker, ti ti-map-pin
fa fa-map-marker-alt, ti ti-map-pin
fa fa-map-marked-alt, ti ti-map-2
fa fa-map-marked, ti ti-map-2
fa fa-map-pin, ti ti-map-pin
fa fa-map, ti ti-map
fa fa-minus-circle, ti ti-circle-minus
fa fa-minus, ti ti-circle-minus
fa fa-restroom, ti ti-toilet-paper
fa fa-search, ti ti-search
fa fa-spinner, ti ti-refresh
fa fa-table, ti ti-table
fa fa-th, ti ti-table
fa fa-th-list, ti ti-table
fa fa-user-plus, ti ti-user-plus
